"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"8600000US00949","ZCTA5 00949","27575","null","1361","null",
"8600000US00950","ZCTA5 00950","-","-","**","**",
"8600000US00951","ZCTA5 00951","-","-","**","**",
"8600000US00952","ZCTA5 00952","16196","null","1435","null",
"8600000US00953","ZCTA5 00953","27688","null","1577","null",
"8600000US00956","ZCTA5 00956","23859","null","1211","null",
"8600000US00957","ZCTA5 00957","27115","null","1864","null",
"8600000US00959","ZCTA5 00959","30307","null","2349","null",
"8600000US00960","ZCTA5 00960","-","-","**","**",
"8600000US00961","ZCTA5 00961","29811","null","2343","null",
"8600000US00962","ZCTA5 00962","16053","null","1620","null",
"8600000US00965","ZCTA5 00965","14279","null","1504","null",
"8600000US00966","ZCTA5 00966","48174","null","5080","null",
"8600000US00968","ZCTA5 00968","49500","null","11684","null",
"8600000US00969","ZCTA5 00969","47489","null","2916","null",
"8600000US00971","ZCTA5 00971","24972","null","4360","null",
"8600000US00976","ZCTA5 00976","31729","null","1939","null",
"8600000US00979","ZCTA5 00979","33087","null","3808","null",
"8600000US00982","ZCTA5 00982","25360","null","2414","null",
"8600000US00983","ZCTA5 00983","26385","null","2657","null",
"8600000US00985","ZCTA5 00985","27560","null","1749","null",
"8600000US00987","ZCTA5 00987","32596","null","2997","null",
"8600000US01001","ZCTA5 01001","66088","null","8372","null",
"8600000US01002","ZCTA5 01002","60540","null","13265","null",
"8600000US01003","ZCTA5 01003","-","-","**","**",
"8600000US01005","ZCTA5 01005","80060","null","22230","null",
"8600000US01007","ZCTA5 01007","94812","null","7380","null",
"8600000US01008","ZCTA5 01008","78988","null","14658","null",
"8600000US01009","ZCTA5 01009","72644","null","26945","null",
"8600000US01010","ZCTA5 01010","75577","null","22495","null",
"8600000US01011","ZCTA5 01011","71921","null","3530","null",
"8600000US01012","ZCTA5 01012","73750","null","8104","null",
"8600000US01013","ZCTA5 01013","46007","null","6328","null",
"8600000US01020","ZCTA5 01020","58909","null","5284","null",
"8600000US01022","ZCTA5 01022","43525","null","6116","null",
"8600000US01026","ZCTA5 01026","71000","null","6719","null",
"8600000US01027","ZCTA5 01027","66339","null","7343","null",
"8600000US01028","ZCTA5 01028","90579","null","5852","null",
"8600000US01029","ZCTA5 01029","92361","null","16316","null",
"8600000US01030","ZCTA5 01030","79713","null","7023","null",
"8600000US01031","ZCTA5 01031","45549","null","10090","null",
"8600000US01032","ZCTA5 01032","81875","null","23286","null",
"8600000US01033","ZCTA5 01033","101886","null","17916","null",
"8600000US01034","ZCTA5 01034","90625","null","13250","null",
"8600000US01035","ZCTA5 01035","86690","null","16267","null",
"8600000US01036","ZCTA5 01036","94393","null","8945","null",
"8600000US01037","ZCTA5 01037","83036","null","41961","null",
"8600000US01038","ZCTA5 01038","85449","null","15327","null",
"8600000US01039","ZCTA5 01039","94256","null","14637","null",
"8600000US01040","ZCTA5 01040","42537","null","2870","null",
"8600000US01050","ZCTA5 01050","73839","null","18959","null",
"8600000US01053","ZCTA5 01053","50357","null","30721","null",
"8600000US01054","ZCTA5 01054","93942","null","15131","null",
"8600000US01056","ZCTA5 01056","73516","null","6514","null",
"8600000US01057","ZCTA5 01057","77156","null","13194","null",
"8600000US01060","ZCTA5 01060","67356","null","8564","null",
"8600000US01062","ZCTA5 01062","76959","null","9590","null",
"8600000US01063","ZCTA5 01063","-","-","**","**",
"8600000US01066","ZCTA5 01066","-","-","**","**",
"8600000US01068","ZCTA5 01068","85326","null","5821","null",
"8600000US01069","ZCTA5 01069","66920","null","13617","null",
"8600000US01070","ZCTA5 01070","63750","null","17801","null",
"8600000US01071","ZCTA5 01071","81058","null","14270","null",
"8600000US01072","ZCTA5 01072","81042","null","9064","null",
"8600000US01073","ZCTA5 01073","104052","null","20260","null",
"8600000US01074","ZCTA5 01074","88775","null","22116","null",
"8600000US01075","ZCTA5 01075","73601","null","9957","null",
"8600000US01077","ZCTA5 01077","84896","null","13323","null",
"8600000US01079","ZCTA5 01079","32963","null","27765","null",
"8600000US01080","ZCTA5 01080","78576","null","10808","null",
"8600000US01081","ZCTA5 01081","74375","null","6934","null",
"8600000US01082","ZCTA5 01082","58131","null","6623","null",
"8600000US01083","ZCTA5 01083","78252","null","36986","null",
"8600000US01084","ZCTA5 01084","71875","null","19981","null",
"8600000US01085","ZCTA5 01085","74784","null","4248","null",
"8600000US01086","ZCTA5 01086","-","-","**","**",
"8600000US01088","ZCTA5 01088","42111","null","25596","null",
"8600000US01089","ZCTA5 01089","54516","null","4455","null",
"8600000US01092","ZCTA5 01092","60396","null","24123","null",
"8600000US01093","ZCTA5 01093","97083","null","42907","null",
