"cz","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cz12901","Lexington-Fayette, KY",53790
"cz34802","Santa Fe, NM",53766
"cz21900","Marshalltown, IA",53757
"cz37903","Mammoth Lakes, CA",53701
"cz5202","Memphis, MS & TN",53631
"cz30402","Tulsa, OK",53527
"cz27101","Willmar, MN",53511
"cz11700","Lansing, MI",53508
"cz24200","Bourbonnais, IL",53462
"cz3500","Baton Rouge, LA",53441
"cz37901","Las Vegas, AZ & NV",53416
"cz7400","Orlando, FL",53246
"cz12301","Traverse City, MI",53232
"cz39203","Bend, OR",53183
"cz26703","Thief River Falls, MN",53130
"cz29204","Topeka, KS",53124
"cz29302","Newton, KS",53073
"cz10900","Pensacola, FL",53056
"cz26504","Watertown, SD",53047
"cz24400","Rockford, IL",52944
"cz30903","Amarillo, TX",52939
"cz22001","Waterloo, IA",52936
"cz32403","Snyder, TX",52925
"cz26704","Grand Forks, MN & ND",52881
"cz27301","Spencer, IA",52844
"cz38502","Wenatchee, WA",52825
"cz27010","Miller, SD",52653
"cz35600","Hilo, HI",52627
"cz30904","Pampa, TX",52618
"cz34106","Nome, AK",52610
"cz26001","Roseau, MN",52566
"cz26501","Brookings, SD",52398
"cz22900","La Crosse, MN & WI",52392
"cz14700","Evansville, IL & IN",52390
"cz29601","Columbia, MO",52375
"cz31002","Ulysses, KS",52319
"cz28306","North Platte, NE",52279
"cz34303","Riverton, WY",52273
"cz28001","Sioux City, IA & NE & SD",52261
"cz37100","Bakersfield, CA",52226
"cz35202","Gunnison, CO",52208
"cz6700","Tampa, FL",52132
"cz14300","Columbus, IN",52115
"cz3300","New Orleans, LA",52103
"cz6900","Sarasota, FL",52096
"cz26003","West Cook UT, MN",52052
"cz13400","Lima, OH",52037
"cz34112","Bethel, AK",51989
"cz26409","Glendive, MT & ND",51935
"cz27903","Grand Island, NE",51861
"cz4200","Little Rock, AR",51852
"cz35300","Farmington, CO & NM",51851
"cz26002","Duluth, MN & WI",51826
"cz22700","Wausau, WI",51823
"cz32900","Killeen, TX",51802
"cz36403","Soda Springs, ID",51731
"cz12501","Dayton, OH",51724
"cz14100","Fort Wayne, IN",51710
"cz34107","Dillingham, AK",51686
"cz26601","Milbank, MN & SD",51650
"cz31001","Garden City, KS",51649
"cz13501","Toledo, MI & OH",51647
"cz27102","Marshall, MN",51595
"cz31202","Burnet, TX",51508
"cz21202","Redwood Falls, MN",51459
"cz22800","Eau Claire, MN & WI",51458
